City,zhvi_latest,restaurant_count,map_file,restaurants_per_billion_zhvi,zhvi_latest_fmt,population_sum,housing_units_sum,total_property_value,restaurants_per_10k_pop,restaurants_per_billion_val,property_value_per_capita
Portola Valley,4092075.269573776,8,/content/drive/MyDrive/Colab Notebooks/forks and fortunes/maps/portola_valley_restaurants_radius_map.html,1954.9982522274736,"$4,092,075",6645.0,2783.0,11388245475.223818,12.039127163280662,0.7024787108255386,1713806.6930359395
San Mateo,1817368.6712567837,74,/content/drive/MyDrive/Colab Notebooks/forks and fortunes/maps/san_mateo_restaurants_radius_map.html,40718.210438185895,"$1,817,369",,,,,,
Atherton,7569854.199712604,351,/content/drive/MyDrive/Colab Notebooks/forks and fortunes/maps/atherton_restaurants_radius_map.html,46368.13216472862,"$7,569,854",7030.0,2682.0,20302348963.629204,499.2887624466572,17.28863988244915,2887958.60080074
Los Altos,4711700.293214565,266,/content/drive/MyDrive/Colab Notebooks/forks and fortunes/maps/los_altos_restaurants_radius_map.html,56455.20373676422,"$4,711,700",43666.0,16637.0,78388557778.21072,60.91696056428342,3.3933523914626567,1795185.219122675
Hillsborough,3289325.4972789004,232,/content/drive/MyDrive/Colab Notebooks/forks and fortunes/maps/hillsborough_restaurants_radius_map.html,70531.17734682151,"$3,289,325",42794.0,17834.0,58661830918.47191,54.21320745898958,3.9548714448144846,1370795.6937531407
Palo Alto,4225558.088547997,368,/content/drive/MyDrive/Colab Notebooks/forks and fortunes/maps/palo_alto_restaurants_radius_map.html,87089.0879473044,"$4,225,558",17126.0,8220.0,34734087487.86454,214.87796333060845,10.594779555633137,2028149.4504183428
Belmont,2317668.1532636103,296,/content/drive/MyDrive/Colab Notebooks/forks and fortunes/maps/belmont_restaurants_radius_map.html,127714.57362573214,"$2,317,668",,,,,,
San Carlos,2402419.4875174914,331,/content/drive/MyDrive/Colab Notebooks/forks and fortunes/maps/san_carlos_restaurants_radius_map.html,137777.77016870375,"$2,402,419",,,,,,
Millbrae,2041852.7503292733,285,/content/drive/MyDrive/Colab Notebooks/forks and fortunes/maps/millbrae_restaurants_radius_map.html,139579.1150728378,"$2,041,853",,,,,,
Menlo Park,2784549.1316931085,392,/content/drive/MyDrive/Colab Notebooks/forks and fortunes/maps/menlo_park_restaurants_radius_map.html,140776.83009372852,"$2,784,549",40230.0,16259.0,45273984332.19825,97.43972160079544,8.658394125944309,1125378.6808898398
Foster City,1757907.366359752,277,/content/drive/MyDrive/Colab Notebooks/forks and fortunes/maps/foster_city_restaurants_radius_map.html,157573.71821793285,"$1,757,907",,,,,,
Mountain View,2260992.7996121594,406,/content/drive/MyDrive/Colab Notebooks/forks and fortunes/maps/mountain_view_restaurants_radius_map.html,179567.13531756646,"$2,260,993",83464.0,39102.0,88409340450.43466,48.643726636633765,4.592274955694503,1059251.1795556727
Redwood City,1700327.490024373,308,/content/drive/MyDrive/Colab Notebooks/forks and fortunes/maps/redwood_city_restaurants_radius_map.html,181141.57525947253,"$1,700,327",,,,,,
San Bruno,1326445.5651168523,346,/content/drive/MyDrive/Colab Notebooks/forks and fortunes/maps/san_bruno_restaurants_radius_map.html,260847.49280270643,"$1,326,446",,,,,,
South San Francisco,1242100.425004149,350,/content/drive/MyDrive/Colab Notebooks/forks and fortunes/maps/south_san_francisco_restaurants_radius_map.html,281780.75858788216,"$1,242,100",,,,,,
Daly City,1110595.9461083554,370,/content/drive/MyDrive/Colab Notebooks/forks and fortunes/maps/daly_city_restaurants_radius_map.html,333154.46656951954,"$1,110,596",,,,,,
San Francisco,1308329.6436635738,639,/content/drive/MyDrive/Colab Notebooks/forks and fortunes/maps/san_francisco_restaurants_radius_map.html,488409.02068891254,"$1,308,330",,,,,,
