City,restaurant_count,avg_rating,avg_quality_score,high_rated_count,low_rated_count,expensive_count,budget_count,well_reviewed_count,center_lat,center_lng,quality_map_file,quality_data_file,status,zip_code,zhvi_latest,median_home_value,median_income,population,housing_units,restaurants_per_billion_val,restaurants_per_1k_pop,quality_tier,high_rated_percentage,expensive_percentage
Atherton,246,4.168103448275862,3.9759051724137935,169,5,8,177,175,37.453773,-122.2058272,./maps/atherton_quality_map.html,./results/restaurant_quality_atherton.csv,success,94027,7569854.199712604,2000001.0,250001.0,7030.0,2682.0,32497.32,34.99,Very Good,68.7,3.3
Menlo Park,310,4.215593220338983,4.0908474576271185,241,4,23,208,235,37.4519671,-122.177992,./maps/menlo_park_quality_map.html,./results/restaurant_quality_menlo_park.csv,success,94025,2784549.1316931085,2000001.0,215871.0,40230.0,16259.0,111328.62,7.71,Very Good,77.7,7.4
Palo Alto,344,4.217682926829268,4.121432926829268,268,4,23,238,268,37.4443293,-122.1598465,./maps/palo_alto_quality_map.html,./results/restaurant_quality_palo_alto.csv,success,94301,4225558.088547997,2000001.0,235529.0,17126.0,8220.0,81409.36,20.09,Very Good,77.9,6.7
Portola Valley,392,4.243085106382979,4.139042553191489,312,4,29,269,304,37.3736298,-122.219047,./maps/portola_valley_quality_map.html,./results/restaurant_quality_portola_valley.csv,success,94028,4092075.269573776,2000001.0,250001.0,6645.0,2783.0,95794.91,58.99,Very Good,79.6,7.4
Hillsborough,922,4.162614678899083,4.001938073394496,662,34,30,656,672,37.557252,-122.362529,./maps/hillsborough_quality_map.html,./results/restaurant_quality_hillsborough.csv,success,94010,3289325.4972789004,2000001.0,191758.0,42794.0,17834.0,280300.63,21.55,Very Good,71.8,3.3
Los Altos,1122,4.220679886685552,4.106166194523135,863,21,49,821,857,37.3790629,-122.116578,./maps/los_altos_quality_map.html,./results/restaurant_quality_los_altos.csv,success,94022,4920664.843729027,2000001.0,250001.0,19993.0,8151.0,228017.97,56.12,Very Good,76.9,4.4
Mountain View,1364,4.201082753286929,4.092266047950502,1026,26,51,1019,1055,37.3893889,-122.0832101,./maps/mountain_view_quality_map.html,./results/restaurant_quality_mountain_view.csv,success,94041,2266459.1048671673,2000001.0,168980.0,15841.0,7383.0,601819.82,86.11,Very Good,75.2,3.7
Redwood City,1095,4.228735632183908,4.052193486590038,840,20,43,792,797,37.4863239,-122.232523,./maps/redwood_city_quality_map.html,./results/restaurant_quality_redwood_city.csv,success,94061,1953564.7570599224,1938300.0,141599.0,37369.0,14122.0,560513.8,29.3,Very Good,76.7,3.9
San Carlos,1035,4.2363914373088685,4.054434250764525,793,21,33,757,745,37.504936,-122.261823,./maps/san_carlos_quality_map.html,./results/restaurant_quality_san_carlos.csv,success,94070,2402419.487517491,2000001.0,235373.0,30696.0,11958.0,430815.69,33.72,Very Good,76.6,3.2
Belmont,1022,4.248197734294542,4.07664263645726,794,21,35,756,744,37.5164926,-122.2941914,./maps/belmont_quality_map.html,./results/restaurant_quality_belmont.csv,success,94002,2317668.1532636103,2000001.0,204573.0,27730.0,11307.0,440960.45,36.86,Very Good,77.7,3.4
Foster City,949,4.24689578713969,4.07320399113082,739,21,31,705,691,37.5600336,-122.2688522,./maps/foster_city_quality_map.html,./results/restaurant_quality_foster_city.csv,success,94404,1757907.366359752,1682700.0,182417.0,35950.0,15166.0,539846.42,26.4,Very Good,77.9,3.3
San Mateo,802,4.266360052562418,4.119303547963206,646,17,28,595,596,37.496904,-122.3330573,./maps/san_mateo_quality_map.html,./results/restaurant_quality_san_mateo.csv,success,94401,1225567.123146019,1123300.0,121258.0,35628.0,13798.0,654390.92,22.51,Very Good,80.5,3.5
Burlingame,1074,4.175294117647059,3.996235294117647,781,37,30,767,775,37.5780965,-122.3473099,./maps/burlingame_quality_map.html,./results/restaurant_quality_burlingame.csv,success,94010,3289325.4972789004,2000001.0,191758.0,42794.0,17834.0,326510.71,25.1,Very Good,72.7,2.8
Millbrae,1047,4.159657947686117,3.9970321931589536,749,37,25,751,772,37.598958,-122.400941,./maps/millbrae_quality_map.html,./results/restaurant_quality_millbrae.csv,success,94030,2041852.7503292735,1929700.0,157567.0,22589.0,8566.0,512769.59,46.35,Very Good,71.5,2.4
San Bruno,1168,4.1303683737646,3.978346810422282,814,43,23,852,874,37.6248536,-122.4145986,./maps/san_bruno_quality_map.html,./results/restaurant_quality_san_bruno.csv,success,94066,1326445.5651168523,1199400.0,135976.0,42875.0,16736.0,880548.76,27.24,Very Good,69.7,2.0
South San Francisco,1482,4.170655270655271,3.9811324786324787,1060,49,21,1071,1066,37.6535403,-122.4168664,./maps/south_san_francisco_quality_map.html,./results/restaurant_quality_south_san_francisco.csv,success,94080,1242100.425004149,1159500.0,135966.0,65036.0,23364.0,1193140.24,22.79,Very Good,71.5,1.4
San Francisco,2511,4.302416666666667,4.223820833333333,2076,40,145,1896,2020,37.7792588,-122.4193286,./maps/san_francisco_quality_map.html,./results/restaurant_quality_san_francisco.csv,success,94102,709335.925308213,996300.0,64781.0,34983.0,23153.0,3539930.67,71.78,Very Good,82.7,5.8
Daly City,2132,4.25985294117647,4.133200980392156,1681,42,39,1649,1659,37.6904826,-122.47267,./maps/daly_city_quality_map.html,./results/restaurant_quality_daly_city.csv,success,94014,1030716.9244742538,979500.0,115513.0,46269.0,15643.0,2068463.17,46.08,Very Good,78.8,1.8
